Zealand Sjællands Erhvervsakademi i Slagelse;03-02-2025;Hørsholm;25;Frafald;0;Produktionsteknolog;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;Hørsholm;25;Fastholdt;1;Procesteknolog;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Høje Taastrup;21;Fastholdt;1;Finansøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Nykøbing F;01-09-2022;Lolland;21;Gennemført uddannelse;1;Markedsføringsøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Slagelse;01-09-2022;Slagelse;23;Gennemført uddannelse;1;Markedsføringsøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2023;Greve;19;Frafald;0;Finansøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;København;20;Ikke startet;0;International handel og markedsføring;Merkantil;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2021;København;20;Gennemført uddannelse;1;Bygningskonstruktør;Teknisk;2020 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;København;23;Fastholdt;1;Datamatiker;IT & Ledelse;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;25;Frafald;0;Markedsføringsøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2024;Høje Taastrup;25;Frafald;0;Bygningskonstruktør;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Albertslund;22;Ikke startet;0;Datamatiker;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;Ringsted;19;Frafald;0;Markedsføringsøkonom;Merkantil;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;København;21;Gennemført uddannelse;1;Datamatiker;IT & Ledelse;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Roskilde;21;Fastholdt;1;Datamatiker;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;Brøndby;32;Fastholdt;1;Datamatiker;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;30;Frafald;0;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Køge;01-09-2023;Fredensborg;24;Fastholdt;1;Finansøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-02-2022;København;43;Gennemført uddannelse;1;Bygningskonstruktør;Teknisk;2021 V
Zealand Sjællands Erhvervsakademi i Slagelse;02-09-2024;Kalundborg;37;Fastholdt;1;Laborant;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Vallensbæk;19;Frafald;0;Markedsføringsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;København;20;Fastholdt;1;Finansøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Høje Taastrup;19;Fastholdt;1;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2023;Roskilde;24;Fastholdt;1;Laborant;Teknisk;2022 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Ringsted;19;Gennemført uddannelse;1;Markedsføringsøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Køge;03-02-2025;Brøndby;20;Ikke startet;0;Multimediedesigner;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Slagelse;03-02-2025;Slagelse;36;Fastholdt;1;Laborant;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Køge;01-02-2024;Køge;24;Frafald;0;Serviceøkonom;Merkantil;2023 V
Zealand Sjællands Erhvervsakademi i Holbæk;02-09-2024;Roskilde;19;Fastholdt;1;Finansøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Vordingborg;23;Fastholdt;1;Finansøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Gladsaxe;22;Fastholdt;1;Datamatiker;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Næstved;20;Fastholdt;1;Finansøkonom;Merkantil;2024 S
